,pais,Participación,conteo
Lugar origen,Argentina,3.13%,30
,Bolivia,3.00%,55
,Brazil,3.28%,73
,Chile,2.92%,30
,Colombia,19.58%,90
,Costa Rica,0.01%,1
,Cuba,0.21%,8
,Dominican Rep.,0.05%,3
,Ecuador,4.46%,44
,Guatemala,1.08%,14
,Haiti,0.01%,1
,Honduras,0.06%,2
,Italy,0.01%,0
,Mexico,29.71%,251
,Nicaragua,0.07%,1
,Panama,0.01%,1
,Paraguay,0.02%,1
,Peru,19.60%,156
,Puerto Rico,0.28%,4
,Spain,0.02%,0
,United Kingdom,0.09%,0
,United States,10.65%,303
,Venezuela,1.76%,46
