categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1600,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1690,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1700,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1710,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1750,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1772,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1792,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1800,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre y crucificado,1849,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1600,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1692,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1700,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1715,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1724,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1730,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1740,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1754,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1755,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1774,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1780,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1790,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1800,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1819,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres personas,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1600,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1700,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1770,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad tricefálica,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
