name,total,color
Obispos bendición,40,1,
Obispos: Busto episcopal,21,1,
Obispos: libro y documento,70,1,
Obispos : sombrero Guantes,20,1,
Papas,15,2,
Sacerdotes académicos,63,3,
Sacerdotes pensadores,41,3,
Sacerdotes: provinciales y cofundadores,30,3,
Sacerdotes Ejemplares,27,3,
Sacerdotes Piadoso,17,3,
Sacerdotes:  Sombrero y libro,57,3,
Sacerdote: varios,23,3,
