supertema,tema,obras
Laicos,Bastón,51
Laicos,Bastón y documento,20
Laicos,Busto masculino,290
Laicos,Devocional masculino,5
Laicos,Documento,93
Laicos,Guante,36
Laicos,Hombres sentados,44
Laicos,Mano al pecho,72
Laicos,Objetos y oficios,31
Laicos,Reloj,7
Laicos,Retrato con Libro,78
Laicos,Retrato en escenario exterior,38
Laicos,Retrato con libro y documentos,38
Laicos,Retrato interior con escena exterior,38
