,pais,Participación,conteo
Lugar origen,Argentina,3.13%,5
,Bolivia,3.00%,2
,Brazil,3.28%,3
,Chile,2.92%,5
,Colombia,19.58%,28
,,,
,Cuba,0.21%,2
,,,
,Ecuador,4.46%,2
,Guatemala,1.08%,1
,,,
,,,
,,,
,Mexico,29.71%,80
,,,
,,,
,,,
,Peru,19.60%,26
,,,
,Spain,0.02%,0
,United Kingdom,0.09%,0
,United States,10.65%,15
,Venezuela,1.76%,1
