,,Participación,conteo
Lugar origen,Argentina,1.34%,40
,Bolivia,0.64%,19
,Brazil,1.20%,36
,Chile,3.41%,102
,Colombia,9.20%,275
,Cuba,0.33%,10
,Ecuador,0.80%,24
,Guatemala,0.80%,24
,Haiti,0.07%,2
,Italy,0.03%,1
,Mexico,15.86%,474
,Peru,7.53%,225
,Puerto Rico,0.84%,25
,United Kingdom,0.57%,17
,United States,56.54%,"1,690"
,Venezuela,0.84%,25
