name,total
Flagelación,199,,,,,,,,,,,,,,,,,
Ecce Homo,118,,,,,,,,,,,,,,,,,
Ultima Cena,61,,,,,,,,,,,,,,,,,
Juicio,53,,,,,,,,,,,,,,,,,
Huerto,52,,,,,,,,,,,,,,,,,
Prendimiento,27,,Gráfica 34,,,,,,,,,,,,,,,
Lavado Pies,19,,,,,,,,,,,,,,,,,
Coronación,16,,,,,,,,,,,,,,,,,
Entrada Jerusalen,14,,,,,,,,,,,,,,,,,
Sentencia,12,,,,,,,,,,,,,,,,,
Tentacion y Consuelo,10,,,,,,,,,,,,,,,,,
