pais,Participación,conteo
Argentina,0.99%,1.00
Bolivia,6.93%,7.00
Brazil,3.96%,4.00
Chile,0.99%,1.00
Colombia,6.93%,7.00
Ecuador,6.93%,7.00
Guatemala,0.99%,1.00
Mexico,38.61%,39.00
Paraguay,0.99%,1.00
Peru,31.68%,32.00
United States,0.99%,1.00
