categoria,anio,,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1800,1.13%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1827,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1600,7.34%,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1607,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1612,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1663,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1670,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1700,9.04%,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1715,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
