,pais,Participación,conteo
Lugar origen,Argentina,2.99%,2.00
,Colombia,10.45%,7.00
,Ecuador,5.97%,4.00
,Mexico,68.66%,46.00
,Peru,10.45%,7.00
,Venezuela,1.49%,1.00
