categoria,anio,,conteo
Alegorías de la Virgen,1550,,
Alegorías de la Virgen,1573,,
Alegorías de la Virgen,1600,2.69%,5.00
Alegorías de la Virgen,1640,,
Alegorías de la Virgen,1655,,
Alegorías de la Virgen,1675,,
Alegorías de la Virgen,1684,,
Alegorías de la Virgen,1685,,
Alegorías de la Virgen,1699,0.54%,1.00
Alegorías de la Virgen,1700,13.98%,26.00
Alegorías de la Virgen,1705,0.54%,1.00
Alegorías de la Virgen,1707,,
Alegorías de la Virgen,1712,,
Alegorías de la Virgen,1713,,
Alegorías de la Virgen,1715,,
Alegorías de la Virgen,1724,,
Alegorías de la Virgen,1739,0.54%,1.00
Alegorías de la Virgen,1748,2.15%,4.00
Alegorías de la Virgen,1750,,
Alegorías de la Virgen,1755,0.54%,1.00
Alegorías de la Virgen,1763,0.54%,1.00
Alegorías de la Virgen,1770,0.54%,1.00
Alegorías de la Virgen,1780,0.54%,1.00
Alegorías de la Virgen,1787,,
Alegorías de la Virgen,1800,1.08%,2.00
Alegorías de la Virgen,1803,,
Alegorías de la Virgen,1813,,
Alegorías de la Virgen inmaculada,1550,0.54%,1.00
Alegorías de la Virgen inmaculada,1573,0.54%,1.00
Alegorías de la Virgen inmaculada,1600,7.53%,14.00
Alegorías de la Virgen inmaculada,1640,0.54%,1.00
Alegorías de la Virgen inmaculada,1655,0.54%,1.00
Alegorías de la Virgen inmaculada,1675,0.54%,1.00
Alegorías de la Virgen inmaculada,1684,0.54%,1.00
Alegorías de la Virgen inmaculada,1685,0.54%,1.00
Alegorías de la Virgen inmaculada,1699,,
Alegorías de la Virgen inmaculada,1700,8.60%,16.00
Alegorías de la Virgen inmaculada,1705,,
Alegorías de la Virgen inmaculada,1707,0.54%,1.00
Alegorías de la Virgen inmaculada,1712,0.54%,1.00
Alegorías de la Virgen inmaculada,1713,0.54%,1.00
Alegorías de la Virgen inmaculada,1715,0.54%,1.00
Alegorías de la Virgen inmaculada,1724,0.54%,1.00
Alegorías de la Virgen inmaculada,1739,,
Alegorías de la Virgen inmaculada,1748,,
Alegorías de la Virgen inmaculada,1750,1.08%,2.00
Alegorías de la Virgen inmaculada,1755,,
Alegorías de la Virgen inmaculada,1763,,
Alegorías de la Virgen inmaculada,1770,,
Alegorías de la Virgen inmaculada,1780,1.08%,2.00
Alegorías de la Virgen inmaculada,1787,1.08%,2.00
Alegorías de la Virgen inmaculada,1800,,
Alegorías de la Virgen inmaculada,1803,,
Alegorías de la Virgen inmaculada,1813,0.54%,1.00
Letanías,1550,,
Letanías,1573,,
Letanías,1600,,
Letanías,1640,,
Letanías,1655,,
Letanías,1675,,
Letanías,1684,,
Letanías,1685,,
Letanías,1699,,
Letanías,1700,7.53%,14.00
Letanías,1705,,
Letanías,1707,,
Letanías,1712,,
Letanías,1713,4.30%,8.00
Letanías,1715,,
Letanías,1724,,
Letanías,1739,,
Letanías,1748,9.68%,18.00
Letanías,1750,6.45%,12.00
Letanías,1755,1.08%,2.00
Letanías,1763,,
Letanías,1770,,
Letanías,1780,,
Letanías,1787,,
Letanías,1800,16.67%,31.00
Letanías,1803,2.15%,4.00
Letanías,1813,,
,,,
,,,
