pais,,,conteo,Participación,,,,
Hospital,Descriptor,Obras,8,0.04%,,,,
Juego de dados,Descriptor,Obras,8,0.04%,,,,
Mapa,Descriptor,Obras,8,0.04%,,,,
Patos,Descriptor,Obras,8,0.04%,,,,
Pinceles,Descriptor,Obras,8,0.04%,,,,
Pólvora,Descriptor,Obras,8,0.04%,,,,
San Ignacio de Antioquia,Descriptor,Obras,8,0.04%,,,,
Veneración,Descriptor,Obras,8,0.04%,,,,
Anteojos,Descriptor,Obras,7,0.04%,,,,
Astros,Descriptor,Obras,7,0.04%,,,,
Beso,Descriptor,Obras,7,0.04%,,,,
Camello,Descriptor,Obras,7,0.04%,,,,
Cereza,Descriptor,Obras,7,0.04%,,,,
"Curación
",Descriptor,Obras,7,0.04%,,,,
Derrota,Descriptor,Obras,7,0.04%,,,,
Féretro,Descriptor,Obras,7,0.04%,,,,
JHS,Descriptor,Obras,7,0.04%,,,,
Mirada,Descriptor,Obras,7,0.04%,,,,
Otoño,Descriptor,Obras,7,0.04%,,,,
Pensativa,Descriptor,Obras,7,0.04%,,,,
Pintar,Descriptor,Obras,7,0.04%,,,,
Piramide,Descriptor,Obras,7,0.04%,,,,
Tentación,Descriptor,Obras,7,0.04%,,,,
Barril,Descriptor,Obras,6,0.03%,,,,
Catedral,Descriptor,Obras,6,0.03%,,,,
Compasión,Descriptor,Obras,6,0.03%,,,,
"Educación
",Descriptor,Obras,6,0.03%,,,,
Emperador,Descriptor,Obras,6,0.03%,,,,
esqueleto,Descriptor,Obras,6,0.03%,,,,
Evangelización,Descriptor,Obras,6,0.03%,,,,
Huevo,Descriptor,Obras,6,0.03%,,,,
Joyero,Descriptor,Obras,6,0.03%,,,,
Juez,Descriptor,Obras,6,0.03%,,,,
Latigo,Descriptor,Obras,6,0.03%,,,,
Mascota,Descriptor,Obras,6,0.03%,,,,
Misterios,Descriptor,Obras,6,0.03%,,,,
Palmera/s,Descriptor,Obras,6,0.03%,,,,
Profeta,Descriptor,Obras,6,0.03%,,,,
Rueca,Descriptor,Obras,6,0.03%,,,,
Santo Sudario,Descriptor,Obras,6,0.03%,,,,
Tiara,Descriptor,Obras,6,0.03%,,,,
Velero,Descriptor,Obras,6,0.03%,,,,
Algodón,Descriptor,Obras,5,0.03%,,,,
Animales marinos,Descriptor,Obras,5,0.03%,,,,
Antorcha,Descriptor,Obras,5,0.03%,,,,
Arpa,Descriptor,Obras,5,0.03%,,,,
Baúl,Descriptor,Obras,5,0.03%,,,,
Capelo,Descriptor,Obras,5,0.03%,,,,
Comercio,Descriptor,Obras,5,0.03%,,,,
Compás,Descriptor,Obras,5,0.03%,,,,
Huerto,Descriptor,Obras,5,0.03%,,,,
La buena y la mala muerte,Descriptor,Obras,5,0.03%,,,,
Ladrillos,Descriptor,Obras,5,0.03%,,,,
Lengua de Fuego,Descriptor,Obras,5,0.03%,,,,
Luna,Descriptor,Obras,5,0.03%,,,,
Piña,Descriptor,Obras,5,0.03%,,,,
Píxide,Descriptor,Obras,5,0.03%,,,,
Prisión,Descriptor,Obras,5,0.03%,,,,
Red,Descriptor,Obras,5,0.03%,,,,
Reflexión,Descriptor,Obras,5,0.03%,,,,
Reliquia,Descriptor,Obras,5,0.03%,,,,
Ritual,Descriptor,Obras,5,0.03%,,,,
Tocador,Descriptor,Obras,5,0.03%,,,,
Trenza,Descriptor,Obras,5,0.03%,,,,
Volcán,Descriptor,Obras,5,0.03%,,,,
Arco iris,Descriptor,Obras,4,0.02%,,,,
Asesinato,Descriptor,Obras,4,0.02%,,,,
Bastón de mando,Descriptor,Obras,4,0.02%,,,,
Caballete,Descriptor,Obras,4,0.02%,,,,
Carne,Descriptor,Obras,4,0.02%,,,,
Concha,Descriptor,Obras,4,0.02%,,,,
Confesión,Descriptor,Obras,4,0.02%,,,,
Contraste,Descriptor,Obras,4,0.02%,,,,
Desierto,Descriptor,Obras,4,0.02%,,,,
Dolientes,Descriptor,Obras,4,0.02%,,,,
Dolorosa,Descriptor,Obras,4,0.02%,,,,
Encinta,Descriptor,Obras,4,0.02%,,,,
Genealogía,Descriptor,Obras,4,0.02%,,,,
Guadaña,Descriptor,Obras,4,0.02%,,,,
Hogar,Descriptor,Obras,4,0.02%,,,,
Huida,Descriptor,Obras,4,0.02%,,,,
Incienso,Descriptor,Obras,4,0.02%,,,,
Limosna,Descriptor,Obras,4,0.02%,,,,
"Limpieza
Cotidianidad
Cocina
Cuervo",Descriptor,Obras,4,0.02%,,,,
Linaje,Descriptor,Obras,4,0.02%,,,,
Maíz,Descriptor,Obras,4,0.02%,,,,
Mitología griega,Descriptor,Obras,4,0.02%,,,,
Naranja,Descriptor,Obras,4,0.02%,,,,
Naufragio,Descriptor,Obras,4,0.02%,,,,
Orilla,Descriptor,Obras,4,0.02%,,,,
Partituras,Descriptor,Obras,4,0.02%,,,,
Periódico,Descriptor,Obras,4,0.02%,,,,
Pintor,Descriptor,Obras,4,0.02%,,,,
Raíces,Descriptor,Obras,4,0.02%,,,,
Rejas,Descriptor,Obras,4,0.02%,,,,
Rescate,Descriptor,Obras,4,0.02%,,,,
Triunfo,Descriptor,Obras,4,0.02%,,,,
Amanecer,Descriptor,Obras,3,0.02%,,,,
Azotamiento,Descriptor,Obras,3,0.02%,,,,
Candelabro,Descriptor,Obras,3,0.02%,,,,
"Cariátide
",Descriptor,Obras,3,0.02%,,,,
Celosía,Descriptor,Obras,3,0.02%,,,,
Cesta,Descriptor,Obras,3,0.02%,,,,
Cruz Patriarcal,Descriptor,Obras,3,0.02%,,,,
Cuchara,Descriptor,Obras,3,0.02%,,,,
Cuervo,Descriptor,Obras,3,0.02%,,,,
Decapitado,Descriptor,Obras,3,0.02%,,,,
Eclipse,Descriptor,Obras,3,0.02%,,,,
Estaciones,Descriptor,Obras,3,0.02%,,,,
Exorcismo,Descriptor,Obras,3,0.02%,,,,
Fortaleza,Descriptor,Obras,3,0.02%,,,,
Guirnalda de frutas,Descriptor,Obras,3,0.02%,,,,
Historia,Descriptor,Obras,3,0.02%,,,,
Isla,Descriptor,Obras,3,0.02%,,,,
Lámpara,Descriptor,Obras,3,0.02%,,,,
Levitación,Descriptor,Obras,3,0.02%,,,,
Liberación,Descriptor,Obras,3,0.02%,,,,
Limpieza,Descriptor,Obras,3,0.02%,,,,
Lirio,Descriptor,Obras,3,0.02%,,,,
Maiz,Descriptor,Obras,3,0.02%,,,,
Melón,Descriptor,Obras,3,0.02%,,,,
Ninfa(s),Descriptor,Obras,3,0.02%,,,,
Noche,Descriptor,Obras,3,0.02%,,,,
Piano,Descriptor,Obras,3,0.02%,,,,
Púlpito,Descriptor,Obras,3,0.02%,,,,
Reina,Descriptor,Obras,3,0.02%,,,,
Respeto,Descriptor,Obras,3,0.02%,,,,
silueta,Descriptor,Obras,3,0.02%,,,,
Tempestad,Descriptor,Obras,3,0.02%,,,,
Vaca,Descriptor,Obras,3,0.02%,,,,
Visita,Descriptor,Obras,3,0.02%,,,,
Zambo,Descriptor,Obras,3,0.02%,,,,
Arpón,Descriptor,Obras,2,0.01%,,,,
Artesano,Descriptor,Obras,2,0.01%,,,,
Ataúd,Descriptor,Obras,2,0.01%,,,,
Cédula de Profesión,Descriptor,Obras,2,0.01%,,,,
Cementerio,Descriptor,Obras,2,0.01%,,,,
Cofradía,Descriptor,Obras,2,0.01%,,,,
Cojín,Descriptor,Obras,2,0.01%,,,,
Cometa,Descriptor,Obras,2,0.01%,,,,
Cortejo fúnebre,Descriptor,Obras,2,0.01%,,,,
Cúpula,Descriptor,Obras,2,0.01%,,,,
Decapitada,Descriptor,Obras,2,0.01%,,,,
Desmembración,Descriptor,Obras,2,0.01%,,,,
Despedida,Descriptor,Obras,2,0.01%,,,,
Embarcación,Descriptor,Obras,2,0.01%,,,,
Eruditos,Descriptor,Obras,2,0.01%,,,,
Escatología,Descriptor,Obras,2,0.01%,,,,
Fundación,Descriptor,Obras,2,0.01%,,,,
"Inquisición
Juicio
San Benito",Descriptor,Obras,2,0.01%,,,,
Invierno,Descriptor,Obras,2,0.01%,,,,
Ladrón,Descriptor,Obras,2,0.01%,,,,
Lagar,Descriptor,Obras,2,0.01%,,,,
Laicos,Descriptor,Obras,2,0.01%,,,,
Ministros,Descriptor,Obras,2,0.01%,,,,
Mito,Descriptor,Obras,2,0.01%,,,,
Moras,Descriptor,Obras,2,0.01%,,,,
Naranjas,Descriptor,Obras,2,0.01%,,,,
Nieve,Descriptor,Obras,2,0.01%,,,,
Palanquín,Descriptor,Obras,2,0.01%,,,,
Parroquia,Descriptor,Obras,2,0.01%,,,,
Pedestal,Descriptor,Obras,2,0.01%,,,,
Pelícano cristiano,Descriptor,Obras,2,0.01%,,,,
Planicie,Descriptor,Obras,2,0.01%,,,,
Preparativos,Descriptor,Obras,2,0.01%,,,,
Rastrillo,Descriptor,Obras,2,0.01%,,,,
Serafín,Descriptor,Obras,2,0.01%,,,,
Sorpresa,Descriptor,Obras,2,0.01%,,,,
Tiburón,Descriptor,Obras,2,0.01%,,,,
Turíbulo,Descriptor,Obras,2,0.01%,,,,
Vanidad,Descriptor,Obras,2,0.01%,,,,
Vida conventual,Descriptor,Obras,2,0.01%,,,,
Abastos,Descriptor,Obras,1,0.01%,,,,
Abecedario,Descriptor,Obras,1,0.01%,,,,
Abejas,Descriptor,Obras,1,0.01%,,,,
Adoratorio,Descriptor,Obras,1,0.01%,,,,
Alabarda,Descriptor,Obras,1,0.01%,,,,
Alfiler,Descriptor,Obras,1,0.01%,,,,
Anguila,Descriptor,Obras,1,0.01%,,,,
"Anzuelo
",Descriptor,Obras,1,0.01%,,,,
Ardilla,Descriptor,Obras,1,0.01%,,,,
Aretes,Descriptor,Obras,1,0.01%,,,,
Arqueología,Descriptor,Obras,1,0.01%,,,,
Artes liberales,Descriptor,Obras,1,0.01%,,,,
Astrolabio,Descriptor,Obras,1,0.01%,,,,
Auto de Fe,Descriptor,Obras,1,0.01%,,,,
Ballena,Descriptor,Obras,1,0.01%,,,,
Banano,Descriptor,Obras,1,0.01%,,,,
Bar,Descriptor,Obras,1,0.01%,,,,
Barbero,Descriptor,Obras,1,0.01%,,,,
Bisonte,Descriptor,Obras,1,0.01%,,,,
Bocadillos,Descriptor,Obras,1,0.01%,,,,
Camauro,Descriptor,Obras,1,0.01%,,,,
Cangrejo,Descriptor,Obras,1,0.01%,,,,
Canto,Descriptor,Obras,1,0.01%,,,,
Caracol,Descriptor,Obras,1,0.01%,,,,
Caverna,Descriptor,Obras,1,0.01%,,,,
Cebolla,Descriptor,Obras,1,0.01%,,,,
Centauros,Descriptor,Obras,1,0.01%,,,,
Cistircense,Descriptor,Obras,1,0.01%,,,,
Copero,Descriptor,Obras,1,0.01%,,,,
Coser,Descriptor,Obras,1,0.01%,,,,
crátera,Descriptor,Obras,1,0.01%,,,,
Criollo,Descriptor,Obras,1,0.01%,,,,
Cuna,Descriptor,Obras,1,0.01%,,,,
dominó,Descriptor,Obras,1,0.01%,,,,
Edades,Descriptor,Obras,1,0.01%,,,,
Entrega,Descriptor,Obras,1,0.01%,,,,
Ermitaño,Descriptor,Obras,1,0.01%,,,,
Escoba,Descriptor,Obras,1,0.01%,,,,
Escuadra,Descriptor,Obras,1,0.01%,,,,
Estantería,Descriptor,Obras,1,0.01%,,,,
Formación,Descriptor,Obras,1,0.01%,,,,
Fósil,Descriptor,Obras,1,0.01%,,,,
Fresas,Descriptor,Obras,1,0.01%,,,,
Fusilamiento,Descriptor,Obras,1,0.01%,,,,
Galería,Descriptor,Obras,1,0.01%,,,,
Gano,Descriptor,Obras,1,0.01%,,,,
Gastronomía,Descriptor,Obras,1,0.01%,,,,
Idolo,Descriptor,Obras,1,0.01%,,,,
Incendio,Descriptor,Obras,1,0.01%,,,,
Infieles,Descriptor,Obras,1,0.01%,,,,
Ingenio,Descriptor,Obras,1,0.01%,,,,
Inquisidores,Descriptor,Obras,1,0.01%,,,,
Lápiz,Descriptor,Obras,1,0.01%,,,,
Liturgia,Descriptor,Obras,1,0.01%,,,,
"Mariposa
Insecto(s)
Arbusto",Descriptor,Obras,1,0.01%,,,,
Mercenarios,Descriptor,Obras,1,0.01%,,,,
Metamorfosis,Descriptor,Obras,1,0.01%,,,,
Mitote,Descriptor,Obras,1,0.01%,,,,
Moño,Descriptor,Obras,1,0.01%,,,,
Mutilado,Descriptor,Obras,1,0.01%,,,,
Naipe,Descriptor,Obras,1,0.01%,,,,
Orden de Carlos III,Descriptor,Obras,1,0.01%,,,,
Paleta,Descriptor,Obras,1,0.01%,,,,
Plaga,Descriptor,Obras,1,0.01%,,,,
Plato hondo,Descriptor,Obras,1,0.01%,,,,
Potencias,Descriptor,Obras,1,0.01%,,,,
Pozo,Descriptor,Obras,1,0.01%,,,,
Protestantes,Descriptor,Obras,1,0.01%,,,,
Puntilla,Descriptor,Obras,1,0.01%,,,,
Quakers,Descriptor,Obras,1,0.01%,,,,
Rapto,Descriptor,Obras,1,0.01%,,,,
"Raqueta
Volante Badmington",Descriptor,Obras,1,0.01%,,,,
Refectorio,Descriptor,Obras,1,0.01%,,,,
Rodillo,Descriptor,Obras,1,0.01%,,,,
Sandía,Descriptor,Obras,1,0.01%,,,,
Símbolos de la pureza,Descriptor,Obras,1,0.01%,,,,
Sofá,Descriptor,Obras,1,0.01%,,,,
Solideo,Descriptor,Obras,1,0.01%,,,,
Sublevación,Descriptor,Obras,1,0.01%,,,,
Tabernáculo,Descriptor,Obras,1,0.01%,,,,
tetera,Descriptor,Obras,1,0.01%,,,,
Tortura,Descriptor,Obras,1,0.01%,,,,
Uniforme militar,Descriptor,Obras,1,0.01%,,,,
Verano,Descriptor,Obras,1,0.01%,,,,
Viajeros,Descriptor,Obras,1,0.01%,,,,
