pais,,,conteo,Participación,,,,
Jesuita,Descriptor,Obras,210,1.09%,,,,
Túnica roja,Descriptor,Obras,204,1.06%,,,,
Iglesia,Descriptor,Obras,198,1.03%,,,,
Indígenas y caciques,Descriptor,Obras,194,1.01%,,,,
Rey,Descriptor,Obras,185,0.96%,,,,
Personas,Descriptor,Obras,184,0.96%,,,,
Sacerdotes,Descriptor,Obras,184,0.96%,,,,
Agua,Descriptor,Obras,181,0.94%,,,,
Bien/mal,Descriptor,Obras,180,0.94%,,,,
Alimento,Descriptor,Obras,175,0.91%,,,,
Animales,Descriptor,Obras,175,0.91%,,,,
Jardín,Descriptor,Obras,173,0.90%,,,,
Tintero y pluma,Descriptor,Obras,172,0.90%,,,,
Barco,Descriptor,Obras,171,0.89%,,,,
Aureola con estrellas,Descriptor,Obras,169,0.88%,,,,
Jesuitas,Descriptor,Obras,160,0.83%,,,,
Mar,Descriptor,Obras,160,0.83%,,,,
Perro,Descriptor,Obras,160,0.83%,,,,
Medallas e insignias,Descriptor,Obras,159,0.83%,,,,
Bebé,Descriptor,Obras,158,0.82%,,,,
Río,Descriptor,Obras,152,0.79%,,,,
Construcción arquitectónica,Descriptor,Obras,151,0.79%,,,,
Flagelación,Descriptor,Obras,150,0.78%,,,,
Palma,Descriptor,Obras,150,0.78%,,,,
Donante,Descriptor,Obras,147,0.77%,,,,
Sol y luna,Descriptor,Obras,140,0.73%,,,,
Frutas,Descriptor,Obras,139,0.72%,,,,
inmaculada,Descriptor,Obras,139,0.72%,,,,
Camino,Descriptor,Obras,138,0.72%,,,,
Asno,Descriptor,Obras,137,0.71%,,,,
Plantas,Descriptor,Obras,136,0.71%,,,,
Visión,Descriptor,Obras,133,0.69%,,,,
Corte celestial,Descriptor,Obras,132,0.69%,,,,
Eucaristía,Descriptor,Obras,132,0.69%,,,,
Mitra,Descriptor,Obras,131,0.68%,,,,
Manto estrellado,Descriptor,Obras,125,0.65%,,,,
Estandarte,Descriptor,Obras,123,0.64%,,,,
Zapatos,Descriptor,Obras,123,0.64%,,,,
Descendimiento,Descriptor,Obras,122,0.64%,,,,
Dios Padre,Descriptor,Obras,122,0.64%,,,,
Bosque,Descriptor,Obras,121,0.63%,,,,
Escudo heráldico,Descriptor,Obras,121,0.63%,,,,
Lanza,Descriptor,Obras,121,0.63%,,,,
Naves,Descriptor,Obras,121,0.63%,,,,
Penitencia,Descriptor,Obras,121,0.63%,,,,
Guardia,Descriptor,Obras,120,0.63%,,,,
Caballo,Descriptor,Obras,117,0.61%,,,,
Pästores,Descriptor,Obras,116,0.60%,,,,
"Canasto
",Descriptor,Obras,115,0.60%,,,,
Papa,Descriptor,Obras,115,0.60%,,,,
Peana,Descriptor,Obras,111,0.58%,,,,
Trono,Descriptor,Obras,110,0.57%,,,,
Sangre,Descriptor,Obras,109,0.57%,,,,
Adoración,Descriptor,Obras,108,0.56%,,,,
Biblioteca,Descriptor,Obras,106,0.55%,,,,
Desposorios,Descriptor,Obras,106,0.55%,,,,
Bandera,Descriptor,Obras,101,0.53%,,,,
Rosario,Descriptor,Obras,101,0.53%,,,,
Mestizo/a,Descriptor,Obras,100,0.52%,,,,
Mulata/o,Descriptor,Obras,100,0.52%,,,,
Nacimiento,Descriptor,Obras,100,0.52%,,,,
Negro,Descriptor,Obras,100,0.52%,,,,
Desconsuelo,Descriptor,Obras,97,0.51%,,,,
Noble,Descriptor,Obras,97,0.51%,,,,
Expresión facial,Descriptor,Obras,95,0.49%,,,,
Techo,Descriptor,Obras,95,0.49%,,,,
Cuerpo,Descriptor,Obras,93,0.48%,,,,
Órdenes franciscanas,Descriptor,Obras,93,0.48%,,,,
Piedras,Descriptor,Obras,93,0.48%,,,,
Riqueza,Descriptor,Obras,93,0.48%,,,,
Caliz,Descriptor,Obras,91,0.47%,,,,
Cena,Descriptor,Obras,91,0.47%,,,,
Taller,Descriptor,Obras,91,0.47%,,,,
Procesión,Descriptor,Obras,90,0.47%,,,,
Sin datos,Descriptor,Obras,90,0.47%,,,,
Conquista española,Descriptor,Obras,89,0.46%,,,,
Custodia,Descriptor,Obras,88,0.46%,,,,
Bastón Florido,Descriptor,Obras,86,0.45%,,,,
Padre Eterno,Descriptor,Obras,86,0.45%,,,,
Beato,Descriptor,Obras,84,0.44%,,,,
Trabajo,Descriptor,Obras,84,0.44%,,,,
Arco,Descriptor,Obras,83,0.43%,,,,
Sol,Descriptor,Obras,83,0.43%,,,,
Bautismo,Descriptor,Obras,81,0.42%,,,,
Bendición,Descriptor,Obras,81,0.42%,,,,
Alma,Descriptor,Obras,79,0.41%,,,,
Nobles,Descriptor,Obras,78,0.41%,,,,
Pueblo,Descriptor,Obras,78,0.41%,,,,
Carruaje,Descriptor,Obras,77,0.40%,,,,
Imagen,Descriptor,Obras,77,0.40%,,,,
Monjes,Descriptor,Obras,77,0.40%,,,,
Personas miniatura,Descriptor,Obras,77,0.40%,,,,
Castillo,Descriptor,Obras,76,0.40%,,,,
Petición,Descriptor,Obras,75,0.39%,,,,
Escritura mística,Descriptor,Obras,74,0.39%,,,,
Juan Bautista,Descriptor,Obras,74,0.39%,,,,
Casco,Descriptor,Obras,73,0.38%,,,,
Fruto,Descriptor,Obras,73,0.38%,,,,
Ramas,Descriptor,Obras,71,0.37%,,,,
Llanto,Descriptor,Obras,70,0.36%,,,,
Tierra,Descriptor,Obras,70,0.36%,,,,
Almas penitentes,Descriptor,Obras,68,0.35%,,,,
Ofrenda,Descriptor,Obras,67,0.35%,,,,
Platos,Descriptor,Obras,67,0.35%,,,,
Virtud,Descriptor,Obras,67,0.35%,,,,
Alas,Descriptor,Obras,66,0.34%,,,,
Clero secular,Descriptor,Obras,64,0.33%,,,,
Estigmas,Descriptor,Obras,64,0.33%,,,,
Inscripción,Descriptor,Obras,64,0.33%,,,,
Enfermedad,Descriptor,Obras,63,0.33%,,,,
Campo,Descriptor,Obras,62,0.32%,,,,
Enfermo,Descriptor,Obras,62,0.32%,,,,
Juicio,Descriptor,Obras,62,0.32%,,,,
Sueño,Descriptor,Obras,62,0.32%,,,,
Ayuda,Descriptor,Obras,61,0.32%,,,,
Juguetes,Descriptor,Obras,61,0.32%,,,,
Rompimiento de gloria,Descriptor,Obras,61,0.32%,,,,
Verdugo,Descriptor,Obras,61,0.32%,,,,
Carros de triunfo,Descriptor,Obras,60,0.31%,,,,
Fuente,Descriptor,Obras,60,0.31%,,,,
Papel,Descriptor,Obras,60,0.31%,,,,
Casas,Descriptor,Obras,59,0.31%,,,,
Reyes Magos,Descriptor,Obras,59,0.31%,,,,
Castizo,Descriptor,Obras,58,0.30%,,,,
Daga,Descriptor,Obras,58,0.30%,,,,
Cotidianidad,Descriptor,Obras,57,0.30%,,,,
Lectura,Descriptor,Obras,57,0.30%,,,,
Sepulcro,Descriptor,Obras,57,0.30%,,,,
Música,Descriptor,Obras,56,0.29%,,,,
Paraíso,Descriptor,Obras,56,0.29%,,,,
Vestiduras,Descriptor,Obras,56,0.29%,,,,
Campesino,Descriptor,Obras,55,0.29%,,,,
Ciudad miniatura,Descriptor,Obras,55,0.29%,,,,
Lactación,Descriptor,Obras,55,0.29%,,,,
Morisco/a,Descriptor,Obras,55,0.29%,,,,
Balcón,Descriptor,Obras,54,0.28%,,,,
Cuadro,Descriptor,Obras,54,0.28%,,,,
Infierno,Descriptor,Obras,54,0.28%,,,,
Mantel,Descriptor,Obras,54,0.28%,,,,
Albino/a,Descriptor,Obras,53,0.28%,,,,
Mundo,Descriptor,Obras,52,0.27%,,,,
Santa faz,Descriptor,Obras,52,0.27%,,,,
Corte,Descriptor,Obras,50,0.26%,,,,
