Eje linea tiempo,categoria,anio,% de total conteo,conteo,Conteo de:
# y % de Obras,Santos,1570,0.12%,1,Obras
# y % de Obras,Santos,1575,0.12%,1,Obras
# y % de Obras,Santos,1587,0.12%,1,Obras
# y % de Obras,Santos,1590,0.12%,1,Obras
# y % de Obras,Santos,1600,17.15%,147,Obras
# y % de Obras,Santos,1604,0.12%,1,Obras
# y % de Obras,Santos,1610,0.23%,2,Obras
# y % de Obras,Santos,1617,0.12%,1,Obras
# y % de Obras,Santos,1620,0.23%,2,Obras
# y % de Obras,Santos,1625,0.12%,1,Obras
# y % de Obras,Santos,1627,0.12%,1,Obras
# y % de Obras,Santos,1630,0.35%,3,Obras
# y % de Obras,Santos,1635,0.23%,2,Obras
# y % de Obras,Santos,1636,0.12%,1,Obras
# y % de Obras,Santos,1637,0.12%,1,Obras
# y % de Obras,Santos,1639,0.23%,2,Obras
# y % de Obras,Santos,1640,1.28%,11,Obras
# y % de Obras,Santos,1648,0.12%,1,Obras
# y % de Obras,Santos,1649,0.12%,1,Obras
# y % de Obras,Santos,1650,3.03%,26,Obras
# y % de Obras,Santos,1653,0.70%,6,Obras
# y % de Obras,Santos,1656,0.82%,7,Obras
# y % de Obras,Santos,1657,3.38%,29,Obras
# y % de Obras,Santos,1659,0.12%,1,Obras
# y % de Obras,Santos,1660,0.47%,4,Obras
# y % de Obras,Santos,1661,0.23%,2,Obras
# y % de Obras,Santos,1663,0.12%,1,Obras
# y % de Obras,Santos,1666,0.23%,2,Obras
# y % de Obras,Santos,1668,0.23%,2,Obras
# y % de Obras,Santos,1669,0.70%,6,Obras
# y % de Obras,Santos,1670,0.58%,5,Obras
# y % de Obras,Santos,1675,0.35%,3,Obras
# y % de Obras,Santos,1676,0.12%,1,Obras
# y % de Obras,Santos,1677,0.12%,1,Obras
# y % de Obras,Santos,1678,0.12%,1,Obras
# y % de Obras,Santos,1680,0.93%,8,Obras
# y % de Obras,Santos,1681,0.12%,1,Obras
# y % de Obras,Santos,1684,0.23%,2,Obras
# y % de Obras,Santos,1685,0.12%,1,Obras
# y % de Obras,Santos,1686,0.23%,2,Obras
# y % de Obras,Santos,1687,0.12%,1,Obras
# y % de Obras,Santos,1689,0.35%,3,Obras
# y % de Obras,Santos,1690,1.17%,10,Obras
# y % de Obras,Santos,1691,0.35%,3,Obras
# y % de Obras,Santos,1692,0.12%,1,Obras
# y % de Obras,Santos,1694,0.23%,2,Obras
# y % de Obras,Santos,1700,21.82%,187,Obras
# y % de Obras,Santos,1713,0.12%,1,Obras
# y % de Obras,Santos,1715,0.23%,2,Obras
# y % de Obras,Santos,1717,0.23%,2,Obras
# y % de Obras,Santos,1720,0.35%,3,Obras
# y % de Obras,Santos,1724,0.35%,3,Obras
# y % de Obras,Santos,1730,0.12%,1,Obras
# y % de Obras,Santos,1738,0.70%,6,Obras
# y % de Obras,Santos,1739,0.12%,1,Obras
# y % de Obras,Santos,1740,0.35%,3,Obras
# y % de Obras,Santos,1741,0.12%,1,Obras
# y % de Obras,Santos,1745,0.47%,4,Obras
# y % de Obras,Santos,1746,0.12%,1,Obras
# y % de Obras,Santos,1748,1.63%,14,Obras
# y % de Obras,Santos,1750,1.17%,10,Obras
# y % de Obras,Santos,1754,0.23%,2,Obras
# y % de Obras,Santos,1755,0.12%,1,Obras
# y % de Obras,Santos,1756,0.70%,6,Obras
# y % de Obras,Santos,1757,0.12%,1,Obras
# y % de Obras,Santos,1759,0.12%,1,Obras
# y % de Obras,Santos,1760,4.43%,38,Obras
# y % de Obras,Santos,1761,0.12%,1,Obras
# y % de Obras,Santos,1762,0.12%,1,Obras
# y % de Obras,Santos,1765,0.12%,1,Obras
# y % de Obras,Santos,1766,0.12%,1,Obras
# y % de Obras,Santos,1767,0.12%,1,Obras
# y % de Obras,Santos,1769,0.23%,2,Obras
# y % de Obras,Santos,1770,0.47%,4,Obras
# y % de Obras,Santos,1771,0.12%,1,Obras
# y % de Obras,Santos,1774,0.12%,1,Obras
# y % de Obras,Santos,1775,0.47%,4,Obras
# y % de Obras,Santos,1780,0.23%,2,Obras
# y % de Obras,Santos,1781,0.12%,1,Obras
# y % de Obras,Santos,1782,0.23%,2,Obras
# y % de Obras,Santos,1784,0.12%,1,Obras
# y % de Obras,Santos,1785,0.12%,1,Obras
# y % de Obras,Santos,1786,0.35%,3,Obras
# y % de Obras,Santos,1788,0.12%,1,Obras
# y % de Obras,Santos,1790,0.12%,1,Obras
# y % de Obras,Santos,1791,0.12%,1,Obras
# y % de Obras,Santos,1800,0.58%,5,Obras
# y % de Obras,Santos,1804,0.12%,1,Obras
# y % de Obras,Santos,1810,0.12%,1,Obras
# y % de Obras,Santos,1820,0.12%,1,Obras
# y % de Obras,Santos,1827,0.12%,1,Obras
# y % de Obras,Santos,1830,0.47%,4,Obras
# y % de Obras,Santos,1837,0.23%,2,Obras
# y % de Obras,Santos,1841,0.12%,1,Obras
