name,total
Santos ,20,,,,,,,,,,,,,,,,
Mariología,17,,,,,,,,,,,,,,,,
Cristología,47,,,,,,,,,,,,,,,,
Temas seculares: civiles,212,,,,,,,,,,,,,,,,
Temas seculares: Historia,34,,,,,,,,,,,,,,,,
Temas seculares: Retrato,1689,,,,,,,,,,,,,,,,
Alegorías y emblemas,8,,Gráfica 2,,,,,,,,,,,,,,
Ángeles,3,,,,,,,,,,,,,,,,
Dogma,1,,,,,,,,,,,,,,,,
Antiguo Testamento,14,,,,,,,,,,,,,,,,
Mística y Moral,1,,,,,,,,,,,,,,,,
