name,total
San José y el niño,241,,,,,,,,,,,,,,,,,,,
Muerte,52,,,,,,,,,,,,,,,,,,,
Otros devocionales,29,,,,,,,,,,,,,,,,,,,
Sueño de José,13,,,,,,,,,,,,,,,,,,,
Patrocinio,12,,,,,,,,,,,,,,,,,,,
Coronación,8,,,Gráfica 47,,,,,,,,,,,,,,,,
