categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1600,1.000,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1640,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1650,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1657,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1659,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1670,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1683,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1685,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1700,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1734,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1735,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1736,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1738,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1764,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1765,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1774,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1778,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1812,,,,,,,,,,,,,,,,,,,,,,
Jael y Císara,1835,,,,,,,,,,,,,,,,,,,,,,
Jericó,1600,,,,,,,,,,,,,,,,,,,,,,
Jericó,1640,,,,,,,,,,,,,,,,,,,,,,
Jericó,1650,,,,,,,,,,,,,,,,,,,,,,
Jericó,1657,,,,,,,,,,,,,,,,,,,,,,
Jericó,1659,,,,,,,,,,,,,,,,,,,,,,
Jericó,1670,1.000,,,,,,,,,,,,,,,,,,,,,
Jericó,1683,1.000,,,,,,,,,,,,,,,,,,,,,
Jericó,1685,,,,,,,,,,,,,,,,,,,,,,
Jericó,1700,1.000,,,,,,,,,,,,,,,,,,,,,
Jericó,1734,,,,,,,,,,,,,,,,,,,,,,
Jericó,1735,,,,,,,,,,,,,,,,,,,,,,
Jericó,1736,,,,,,,,,,,,,,,,,,,,,,
Jericó,1738,,,,,,,,,,,,,,,,,,,,,,
Jericó,1764,,,,,,,,,,,,,,,,,,,,,,
Jericó,1765,,,,,,,,,,,,,,,,,,,,,,
Jericó,1774,,,,,,,,,,,,,,,,,,,,,,
Jericó,1778,,,,,,,,,,,,,,,,,,,,,,
Jericó,1812,,,,,,,,,,,,,,,,,,,,,,
Jericó,1835,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1600,2.000,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1640,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1650,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1657,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1659,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1670,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1683,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1685,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1700,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1734,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1735,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1736,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1738,1.000,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1764,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1765,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1774,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1778,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1812,,,,,,,,,,,,,,,,,,,,,,
Judith y Holofernes,1835,1.000,,,,,,,,,,,,,,,,,,,,,
Macabeos,1600,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1640,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1650,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1657,1.000,,,,,,,,,,,,,,,,,,,,,
Macabeos,1659,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1670,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1683,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1685,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1700,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1734,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1735,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1736,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1738,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1764,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1765,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1774,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1778,1.000,,,,,,,,,,,,,,,,,,,,,
Macabeos,1812,,,,,,,,,,,,,,,,,,,,,,
Macabeos,1835,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1600,8.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1640,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1650,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1657,1.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1659,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1670,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1683,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1685,6.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1700,3.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1734,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1735,1.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1736,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1738,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1764,2.000,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1765,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1774,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1778,,,,,,,,,,,,,,,,,,,,,,
