pais,conteo,Participación a total,Conjunto 1:
,364,0.018958333,Filacteria
Cartela,2081,0.108385417,Filacteria
Cinta,589,0.030677083,Filacteria
Escritura en Libro,120,0.00625,Filacteria
Filacteria,169,0.008802083,Filacteria
Inscripción,1937,0.100885417,Filacteria
Varios iconotextos,485,0.025260417,Filacteria
