pais,conteo1,conteo2
Mexico,4563,711
Peru,2914,408
Colombia,2795,255
United States,1657,52
Ecuador,764,131
Brazil,484,153
Argentina,462,94
Chile,460,54
Bolivia,442,78
Venezuela,259,90
Guatemala,144,17
Puerto Rico,52,16
Cuba,32,15
United Kingdom,18,11
Nicaragua,11,1
Honduras,7,3
Spain,3,3
Haiti,2,1
Italy,2,2
Paraguay,2,2
Costa Rica,1,1
Dominican Rep.,1,1
Panama,1,1
