,pais,Participación,conteo
Lugar origen,Argentina,1.15%,1.00
,Brazil,5.75%,5.00
,Cuba,2.30%,2.00
,Guatemala,1.15%,1.00
,Mexico,80.46%,70.00
,Peru,6.90%,6.00
,United States,2.30%,2.00
