name,total
Conquista de Canaán,16,,
Elías/Eliseo,29,,
Reyes de Israel,22,,
Judith y Holofernes,6,,Gráfica 52
Sansón,4,,
Esther,3,,
Jael/Cisara,3,,
Jericó ,3,,
