categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1550,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1570,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1575,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1590,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1595,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1600,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1637,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1650,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1657,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1675,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1683,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1687,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1689,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1700,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1720,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1750,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passaviensis,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1500,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1520,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1550,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1575,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1592,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1595,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1600,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1620,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1626,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1630,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1640,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1657,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1694,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1700,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1720,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1724,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1750,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1760,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1765,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1770,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1794,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen María y Niño Jesús,1800,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1575,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1600,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1700,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
