name,total
Virgen con el Niño,94,,,,,,,,,,,,,,,,,,,
Virgen y niño cuerpo entero,39,,Gráfica 42,,,,,,,,,,,,,,,,,
passaviensis,26,,,,,,,,,,,,,,,,,,,
Virgen y niño con santos y donantes,23,,,,,,,,,,,,,,,,,,,
