name,total
Argentina,40
Bolivia,19
Brazil,36
Chile,102
Colombia,275
Cuba,10
Ecuador,24
Guatemala,24
Haiti,2
Mexico,474
Peru,225
Puerto Rico,25
United States,1690
Venezuela,25
