,pais,Participación,conteo
Lugar origen,Argentina,2.74%,20.0
,Bolivia,1.65%,12.0
,Brazil,1.10%,8.0
,Chile,0.69%,5.0
,Colombia,41.02%,299.0
,Cuba,0.27%,2.0
,Ecuador,2.47%,18.0
,Guatemala,0.55%,4.0
,Mexico,27.30%,199.0
,Peru,19.48%,142.0
,Puerto Rico,0.27%,2.0
,United States,0.14%,1.0
,Venezuela,2.33%,17.0
