pais,participación,conteo,total,normalizado
Bolivia,3.22%,13.0,576,2.256944444
Brazil,0.50%,2.0,630,0.317460317
Cuba,0.99%,4.0,41,9.756097561
Ecuador,1.49%,6.0,857,0.700116686
Mexico,85.89%,347.0,"5,705",6.082383874
Peru,5.20%,21.0,"3,764",0.557917109
Puerto Rico,2.72%,11.0,54,20.37037037
