pais,Vida de la virgen,,conteo,
Mexico,Lugar origen,Obras,257,
Peru,Lugar origen,Obras,233,
Colombia,Lugar origen,Obras,224,
Argentina,Lugar origen,Obras,44,
Bolivia,Lugar origen,Obras,36,
Ecuador,Lugar origen,Obras,35,
Chile,Lugar origen,Obras,25,
Venezuela,Lugar origen,Obras,27,
Brazil,Lugar origen,Obras,6,
Guatemala,Lugar origen,Obras,12,
United States,Lugar origen,Obras,6,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,3,
Puerto Rico,Lugar origen,Obras,2,
Nicaragua,Lugar origen,Obras,2,
Costa Rica,Lugar origen,Obras,0,
