,pais,Participación,conteo
Lugar origen,Argentina,0.94%,1.00
,Bolivia,0.94%,1.00
,Brazil,17.92%,19.00
,Chile,1.89%,2.00
,Colombia,4.72%,5.00
,Ecuador,0.94%,1.00
,Mexico,19.81%,21.00
,Peru,22.64%,24.00
,Puerto Rico,0.94%,1.00
,United States,28.30%,30.00
,Venezuela,0.94%,1.00
