,pais,Participación,conteo
Lugar origen,Argentina,1.20%,1.00
,Brazil,13.25%,11.00
,Colombia,6.02%,5.00
,Ecuador,4.82%,4.00
,Mexico,18.07%,15.00
,Peru,21.69%,18.00
,United Kingdom,1.20%,1.00
,United States,33.73%,28.00
