,pais,Participación,conteo
Lugar origen,Argentina,2.06%,2.00
,Bolivia,2.06%,2.00
,Brazil,1.03%,1.00
,Chile,1.03%,1.00
,Colombia,30.93%,30.00
,Ecuador,10.31%,10.00
,Guatemala,3.09%,3.00
,Mexico,27.84%,27.00
,Peru,19.59%,19.00
,United States,1.03%,1.00
,Venezuela,1.03%,1.00
