supertema,tema,obras
,Alegorías y Emblemas,73
,Ángeles,69
,Dogma,63
,Santos,47
,Mariología,16
,Antiguo Testamento,13
,Historia,10
,Cristológico,7
,Mística y Moral,3
,Temas seculares,3
,Retrato,2
