supertema,tema,obras
,Abanico,30
,Abanico y Flor,23
,Abanico y joyas,12
,Abanico y libro,3
,Abanico y pañuelo,11
,Animales,10
,Busto femenino,105
,Cartas y documentos,12
,Flor,60
,Joyas y joyeros,7
,Libro,62
,Mujeres sentadas,123
,Objetos varios,15
