,pais,Participación,conteo
Lugar origen,Bolivia,6.12%,3.00
,Brazil,8.16%,4.00
,Guatemala,2.04%,1.00
,Mexico,51.02%,25.00
,Peru,12.24%,6.00
,United States,20.41%,10.00
