supertema,tema,obras
,Bárbara,112
,Juan el Bautista,100
,Catalina,88
,Otros mártires,53
,Otras Mártires,45
,Lucía,32
,Lorenzo,28
,Úrsula,26
,Sebastián,24
,Esteban,17
