pais,conteo
Argentina,600
Bolivia,576
Brazil,630
Chile,560
Colombia,3759
Costa Rica,1
Cuba,41
Dominican Rep.,10
Ecuador,857
Guatemala,208
Haiti,2
Honduras,11
Italy,2
Mexico,5705
Nicaragua,13
Panama,1
Paraguay,4
Peru,3764
Puerto Rico,54
Spain,3
United Kingdom,18
United States,2044
Venezuela,337
