categoria,anio,,conteo
Ángeles Alegóricos y Virtudes,1600,4.11%,3.00
Ángeles Alegóricos y Virtudes,1650,,
Ángeles Alegóricos y Virtudes,1670,1.37%,1.00
Ángeles Alegóricos y Virtudes,1694,1.37%,1.00
Ángeles Alegóricos y Virtudes,1699,1.37%,1.00
Ángeles Alegóricos y Virtudes,1700,5.48%,4.00
Ángeles Alegóricos y Virtudes,1704,,
Ángeles Alegóricos y Virtudes,1720,,
Ángeles Alegóricos y Virtudes,1770,1.37%,1.00
Ángeles Alegóricos y Virtudes,1780,,
Ángeles Alegóricos y Virtudes,1781,,
Ángeles Alegóricos y Virtudes,1786,,
Ángeles de la Pasión,1600,6.85%,5.00
Ángeles de la Pasión,1650,1.37%,1.00
Ángeles de la Pasión,1670,1.37%,1.00
Ángeles de la Pasión,1694,,
Ángeles de la Pasión,1699,,
Ángeles de la Pasión,1700,19.18%,14.00
Ángeles de la Pasión,1704,,
Ángeles de la Pasión,1720,,
Ángeles de la Pasión,1770,1.37%,1.00
Ángeles de la Pasión,1780,,
Ángeles de la Pasión,1781,,
Ángeles de la Pasión,1786,2.74%,2.00
Dominaciones,1600,,
Dominaciones,1650,,
Dominaciones,1670,,
Dominaciones,1694,,
Dominaciones,1699,,
Dominaciones,1700,5.48%,4.00
Dominaciones,1704,,
Dominaciones,1720,,
Dominaciones,1770,,
Dominaciones,1780,,
Dominaciones,1781,1.37%,1.00
Dominaciones,1786,,
Potestades,1600,2.74%,2.00
Potestades,1650,,
Potestades,1670,1.37%,1.00
Potestades,1694,,
Potestades,1699,,
Potestades,1700,,
Potestades,1704,,
Potestades,1720,,
Potestades,1770,,
Potestades,1780,,
Potestades,1781,,
Potestades,1786,,
Principados,1600,,
Principados,1650,,
Principados,1670,1.37%,1.00
Principados,1694,,
Principados,1699,,
Principados,1700,,
Principados,1704,,
Principados,1720,,
Principados,1770,,
Principados,1780,,
Principados,1781,,
Principados,1786,,
Querubines,1600,,
Querubines,1650,,
Querubines,1670,,
Querubines,1694,,
Querubines,1699,,
Querubines,1700,,
Querubines,1704,,
Querubines,1720,1.37%,1.00
Querubines,1770,,
Querubines,1780,,
Querubines,1781,1.37%,1.00
Querubines,1786,,
Serafines,1600,,
Serafines,1650,2.74%,2.00
Serafines,1670,1.37%,1.00
Serafines,1694,,
Serafines,1699,,
Serafines,1700,1.37%,1.00
Serafines,1704,5.48%,4.00
Serafines,1720,,
Serafines,1770,,
Serafines,1780,,
Serafines,1781,,
Serafines,1786,,
