supertema,tema,obras
Composición de milagros,,2
Composición de milagros,Con santos,6
Composición de milagros,Escenas grandes,2
Composición de milagros,Indígenas y donantes,12
Composición de milagros,Patronatos,11
Composición de milagros,Retratos de aparición,59
Dios Pita,,8
Escudo de Monja,,9
Guadalupe sola,,37
Guadalupe sola,Con inscripción,9
Guadalupe sola,Guadalupe y Ángeles,4
Guadalupe sola,Guadalupe y flores,11
Guadalupe sola,Sola,7
Otras guadalupes,,19
