supertema,tema,obras
Ciclo Libros Históricos,Conquista de Canaán,16
Ciclo Libros Históricos,Elías - Eliseo,29
Ciclo Libros Históricos,Escenas bíblicas históricas,4
Ciclo Libros Históricos,Esther,3
Ciclo Libros Históricos,Ezequías,3
Ciclo Libros Históricos,Jael y Císara,3
Ciclo Libros Históricos,Jericó,3
Ciclo Libros Históricos,Judith y Holofernes,6
Ciclo Libros Históricos,Macabeos,2
Ciclo Libros Históricos,Reyes de Israel,22
Ciclo Libros Históricos,Sansón,4
