supertema,tema,obras
Buen Pastor,,33
Otras devociones,,12
Salvador,Cristo Redentor,15
Salvador,Cristo Salvador,8
Salvador,Cristo Salvador y Eucarístico,8
Salvador,Salvador Visión de Mariana Escobar,10
Salvador niño,,10
