name,total
Francisco de Asís,423
Santa Teresa,305
Ignacio de Loyola,206
Santo Domingo,185
Juan de Dios,81
Pedro Nolasco,59
Francisco de Paula,51
Clara de Asís,39
Cayetano,34
Bernardo,30
Felipe Neri,19
Ines de Montepulciano,18
Benito,11
Bruno,11
Camilo de Lelis,7
Juan de Matta,5
Romualdo,1
