pais,conteo
Mexico,5705
Peru,3764
Colombia,3759
United States,2044
Ecuador,857
Brazil,630
Argentina,600
Bolivia,576
Chile,560
Venezuela,337
Guatemala,208
Puerto Rico,54
Cuba,41
United Kingdom,18
Nicaragua,13
Honduras,11
Dominican Rep.,10
Paraguay,4
Spain,3
Haiti,2
Italy,2
Costa Rica,1
Panama,1
