pais,conteo
Celeste,14.0
Sin datos,1.0
Sin definir,221.0
Sin definir - Claroscuro,11.0
Terrestre / Ciudad - poblado,2.0
Terrestre / Interior casa-habitación,215.0
Terrestre / cortinaje,1.0
Terrestre / interior - paisaje,22.0
Terrestre / paisaje,54.0
Terrestre otro,3.0
