supertema,tema,obras
Coro Virtudes,Ángeles Alegóricos y Virtudes,15
Coro Virtudes,Ángeles de la Pasión,32
Otros Coros,Dominaciones,6
Otros Coros,Potestades,3
Otros Coros,Principados,1
Otros Coros,Querubines,3
Otros Coros,Serafines,10
