categoria,anio,conteo
Antiguo Testamento,1780,
Antiguo Testamento,1781,
Antiguo Testamento,1782,
Antiguo Testamento,1784,
Antiguo Testamento,1785,
Antiguo Testamento,1786,3.00
Antiguo Testamento,1787,3.00
Antiguo Testamento,1788,
Antiguo Testamento,1789,
Antiguo Testamento,1790,
Antiguo Testamento,1791,
Antiguo Testamento,1793,1.00
Antiguo Testamento,1795,
Antiguo Testamento,1796,1.00
Antiguo Testamento,1797,
Antiguo Testamento,1798,
Antiguo Testamento,1800,2.00
Antiguo Testamento,1801,
Antiguo Testamento,1803,10.00
Antiguo Testamento,1804,
Antiguo Testamento,1807,1.00
Antiguo Testamento,1810,
Antiguo Testamento,1811,
Antiguo Testamento,1812,1.00
Antiguo Testamento,1813,
Antiguo Testamento,1814,
Antiguo Testamento,1816,
Antiguo Testamento,1817,
Antiguo Testamento,1818,
Antiguo Testamento,1819,
Antiguo Testamento,1820,
Antiguo Testamento,1823,
Antiguo Testamento,1826,
Antiguo Testamento,1827,
Antiguo Testamento,1828,
Antiguo Testamento,1831,
Antiguo Testamento,1833,
Antiguo Testamento,1834,
Antiguo Testamento,1835,1.00
Antiguo Testamento,1839,
Antiguo Testamento,1849,
Antiguo Testamento,1850,
Cristológico,1550,
Cristológico,1570,
Cristológico,1574,
Cristológico,1600,3.00
Cristológico,1606,2.00
Cristológico,1630,
Cristológico,1638,
Cristológico,1650,1.00
Cristológico,1652,
Cristológico,1657,
Cristológico,1661,
Cristológico,1670,
Cristológico,1673,
Cristológico,1680,
Cristológico,1684,
Cristológico,1686,
Cristológico,1690,2.00
Cristológico,1699,
Cristológico,1700,9.00
Cristológico,1701,
Cristológico,1705,
Cristológico,1713,
Cristológico,1715,
Cristológico,1720,1.00
Cristológico,1725,
Cristológico,1729,
Cristológico,1730,
Cristológico,1732,
Cristológico,1734,
Cristológico,1736,
Cristológico,1737,
Cristológico,1738,1.00
Cristológico,1743,
Cristológico,1745,
Cristológico,1746,
Cristológico,1749,
Cristológico,1750,
Cristológico,1755,
Cristológico,1756,1.00
Cristológico,1758,
Cristológico,1760,1.00
Cristológico,1764,
Cristológico,1765,
Cristológico,1766,
Cristológico,1767,
Cristológico,1768,
Cristológico,1769,
Cristológico,1770,5.00
Cristológico,1771,
Cristológico,1772,
Cristológico,1773,1.00
Cristológico,1774,
Cristológico,1775,
Cristológico,1777,1.00
Cristológico,1778,
Cristológico,1779,
Cristológico,1780,2.00
Cristológico,1781,8.00
Cristológico,1782,
Cristológico,1784,2.00
Cristológico,1785,3.00
Cristológico,1786,4.00
Cristológico,1787,
Cristológico,1788,
Cristológico,1789,
Cristológico,1790,1.00
Cristológico,1791,
Cristológico,1793,1.00
Cristológico,1795,
Cristológico,1796,
Cristológico,1797,
Cristológico,1798,
Cristológico,1800,
Cristológico,1801,
Cristológico,1803,
Cristológico,1804,
Cristológico,1807,
Cristológico,1810,1.00
Cristológico,1811,1.00
Cristológico,1812,
Cristológico,1813,
Cristológico,1814,
Cristológico,1816,
Cristológico,1817,
Cristológico,1818,4.00
Cristológico,1819,
Cristológico,1820,
Cristológico,1823,
Cristológico,1826,
Cristológico,1827,
Cristológico,1828,1.00
Cristológico,1831,
Cristológico,1833,2.00
Cristológico,1834,1.00
Cristológico,1835,
Cristológico,1839,1.00
Cristológico,1849,
Cristológico,1850,
Dogma,1550,
Dogma,1570,
Dogma,1574,
