supertema,tema,obras
Ciclo Pentateuco,"Adán, Eva y Paraíso",32
Ciclo Pentateuco,Caín y Abel,13
Ciclo Pentateuco,Escenas varias del Pentateuco,3
Ciclo Pentateuco,Historia de Abraham e Isaac,19
Ciclo Pentateuco,Jacob,10
Ciclo Pentateuco,La Creación,16
Ciclo Pentateuco,Moisés,9
Ciclo Pentateuco,Noé y el Diluvio,11
Ciclo Pentateuco,Salomón,8
Ciclo Pentateuco,Saúl y David,30
Ciclo Pentateuco,Serie Gerson,19
Ciclo Pentateuco,Tribus de Israel,16
