supertema,tema,obras
Santos jesuitas,Alonso Rodriguez,6
Santos jesuitas,Estanislao de Kotska,21
Santos jesuitas,Francisco Borja,27
Santos jesuitas,Francisco de Regis,10
Santos jesuitas,Francisco Javier,159
Santos jesuitas,Luis Gonzaga,25
