name,total
Iglesia primitiva Masc.,1521,,
Iglesia primitiva Fem.,123,,
Martires Hombres,294,,
Mártires mujeres,379,,
Fundadores,1143,,
Fundadoras mujeres,379,,
Santos,1181,,
Santas,558,,
Venerables y beatos,165,,
