categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1558,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1600,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1700,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1803,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia de Abraham e Isaac,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1640,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1700,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1734,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1740,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1764,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1600,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1700,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1790,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Creación,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1600,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1700,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1718,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1734,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1764,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1778,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1805,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1627,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1689,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1700,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1807,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noé y el Diluvio,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1600,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1700,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1764,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomón,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1600,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1655,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1670,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1700,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1764,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
