supertema,tema,obras
Apariciones posteriores,,12
Apariciones posteriores,Incredulidad de Santo Tomás,1
Apariciones posteriores,Los discipulos de Emaús,6
Apariciones posteriores,Noli me tangere,6
Ascensión,,18
Descenso nIfierno Limbo,,3
Pentecostés,,20
Resurrección,,34
Transfiguración,,7
