name,total
Francisco de Asís,423
Teresa de Jesús,305
Agustín de Hipona,297
Rosa de Lima,241
Ignacio de Loyola,206
Domingo de Guzmán,185
Antonio de Padua,171
Francisco Javier,155
Santiago Apóstol,118
Jerónimo,114
Santa Bárbara,112
San Pedro,109
Catalina de Siena,104
Juan Nepomuceno,102
Juan el bautista,100
Catalina Mártir,88
María Magdalena,86
Juan de Dios,81
