,pais,Participación,conteo
,Argentina,0.53%,2.0
,Chile,1.32%,5.0
,Colombia,0.26%,1.0
,Italy,0.26%,1.0
,Puerto Rico,1.58%,6.0
,United Kingdom,1.32%,5.0
,United States,94.74%,360.0
