,pais,Participación,conteo
Lugar origen,Argentina,1.39%,40
,Bolivia,0.63%,18
,Brazil,1.19%,34
,Chile,3.45%,99
,Colombia,9.48%,272
,Cuba,0.35%,10
,Ecuador,0.66%,19
,Guatemala,0.84%,24
,Haiti,0.07%,2
,Italy,0.03%,1
,Mexico,16.14%,463
,Peru,7.77%,223
,Puerto Rico,0.87%,25
,United Kingdom,0.59%,17
,United States,55.66%,1597
,Venezuela,0.87%,25
