,pais,Participación,conteo
Lugar origen,Bolivia,0.37%,2.0
,Brazil,1.84%,10.0
,Chile,3.31%,18.0
,Colombia,1.65%,9.0
,Cuba,0.18%,1.0
,Ecuador,0.37%,2.0
,Haiti,0.18%,1.0
,Mexico,8.64%,47.0
,Peru,7.72%,42.0
,Puerto Rico,1.29%,7.0
,United Kingdom,2.02%,11.0
,United States,71.69%,390.0
,Venezuela,0.74%,4.0
