,pais,Participación,conteo
Lugar origen,Argentina,4.32%,8.00
,Bolivia,9.73%,18.00
,Brazil,1.08%,2.00
,Chile,1.62%,3.00
,Colombia,20.54%,38.00
,Ecuador,4.32%,8.00
,Guatemala,1.08%,2.00
,Mexico,31.35%,58.00
,Peru,21.62%,40.00
,Venezuela,4.32%,8.00
