,pais,Participación,conteo
Lugar origen,Argentina,3.13%,14
,Bolivia,3.00%,35
,Brazil,3.28%,39
,Chile,2.92%,11
,Colombia,19.58%,65
,Costa Rica,0.01%,1
,Cuba,0.21%,6
,Dominican Rep.,0.05%,1
,Ecuador,4.46%,27
,Guatemala,1.08%,1
,Haiti,0.01%,1
,Honduras,0.06%,1
,Italy,0.01%,0
,Mexico,29.71%,149
,Nicaragua,0.07%,1
,Panama,0.01%,1
,Paraguay,0.02%,2
,Peru,19.60%,77
,Puerto Rico,0.28%,4
,Spain,0.02%,0
,United Kingdom,0.09%,0
,United States,10.65%,41
,Venezuela,1.76%,16
