supertema,tema,obras
,Temas seculares,177
,Retraro,118
,Historia,115
,Santos,45
,Mariología,20
,Alegorías y Emblemas,6
,Castas,164
,Retrato masculino,98
,Conquista,66
,Indígena,27
,Santos Masculinos,23
,Eclesiástica,20
