supertema,tema,obras
Viacrucis,Camino Calvario,42
Viacrucis,Cirineo,17
Viacrucis,Crucifixión,250
Viacrucis,Descendimiento,47
Viacrucis,Despojo vestiduras,9
Viacrucis,Encuentro con la Virgen y mujeres,39
Viacrucis,Entierro,25
Viacrucis,Lamentación,10
Viacrucis,Nazareno,84
Viacrucis,Verónica,47
