pais,participación,conteo,total,normalizado
Brazil,5.17%,6.0,630,0.952380952
Mexico,1.72%,2.0,5705,0.035056968
Peru,0.86%,1.0,3764,0.026567481
Puerto Rico,0.86%,1.0,54,1.851851852
United States of America,91.38%,106.0,2044,5.18590998
