,pais,Participación,conteo
Lugar origen,Argentina,4.80%,66.0
,Bolivia,3.27%,45.0
,Brazil,4.07%,56.0
,Chile,4.73%,65.0
,Colombia,15.85%,218.0
,Cuba,0.15%,2.0
,Ecuador,3.71%,51.0
,Guatemala,2.33%,32.0
,Honduras,0.29%,4.0
,Mexico,36.95%,508.0
,Nicaragua,0.07%,1.0
,Panama,0.07%,1.0
,Paraguay,0.07%,1.0
,Peru,19.78%,272.0
,United States,2.98%,41.0
,Venezuela,0.87%,12.0
