supertema,tema,obras,
,Barcos,13
,Biombos,58
,Cacería,14
,Castas,404
,Clásicos y mitológicos,83
,Defensas de tesis,11
,Dibujos y cuerpo,8
,Escenas cotidiana,106
,Escudos,15
,Naturaleza muerta,25
,Paisaje,116
,Vistas Urbanas,49
