,pais,Participación,conteo
Lugar origen,Argentina,5.88%,25.0
,Bolivia,1.88%,8.0
,Brazil,1.88%,8.0
,Chile,0.47%,2.0
,Colombia,34.12%,145.0
,Cuba,0.24%,1.0
,Ecuador,1.65%,7.0
,Guatemala,4.94%,21.0
,Mexico,36.71%,156.0
,Peru,8.00%,34.0
,United States,1.88%,8.0
,Venezuela,2.35%,10.0
