,pais,Participación,conteo
Lugar origen,Argentina,1.60%,3.00
,Chile,4.28%,8.00
,Colombia,29.41%,55.00
,Ecuador,2.14%,4.00
,Guatemala,0.53%,1.00
,Mexico,48.13%,90.00
,Peru,12.83%,24.00
,Venezuela,1.07%,2.00
