name,total,color
Iglesia primitiva Masc.,1521,1,
Mártires Hombres,294,1,
Fundadores,1143,1,
Santos,1181,1
Iglesia primitiva Fem.,123,2,
Fundadoras mujeres,379,2,
Santas,558,2,
Venerables y beatos,165,1,
