categoria,anio,conteo,,,,,,,,,,,,,,,,,,
Isaías,1690,1.00,,,,,,,,,,,,,,,,,,
Isaías,1700,1.00,,,,,,,,,,,,,,,,,,
Isaías,1742,,,,,,,,,,,,,,,,,,,
Isaías,1764,1.00,,,,,,,,,,,,,,,,,,
Isaías,1770,,,,,,,,,,,,,,,,,,,
Isaías,1782,,,,,,,,,,,,,,,,,,,
Isaías,1786,,,,,,,,,,,,,,,,,,,
Isaías,1793,,,,,,,,,,,,,,,,,,,
Isaías,1796,,,,,,,,,,,,,,,,,,,
Isaías,1797,,,,,,,,,,,,,,,,,,,
Isaías,1800,1.00,,,,,,,,,,,,,,,,,,
Jeremías,1600,3.00,,,,,,,,,,,,,,,,,,
Jeremías,1620,,,,,,,,,,,,,,,,,,,
Jeremías,1650,,,,,,,,,,,,,,,,,,,
Jeremías,1657,,,,,,,,,,,,,,,,,,,
Jeremías,1685,,,,,,,,,,,,,,,,,,,
Jeremías,1690,,,,,,,,,,,,,,,,,,,
Jeremías,1700,2.00,,,,,,,,,,,,,,,,,,
Jeremías,1742,,,,,,,,,,,,,,,,,,,
Jeremías,1764,1.00,,,,,,,,,,,,,,,,,,
Jeremías,1770,,,,,,,,,,,,,,,,,,,
Jeremías,1782,1.00,,,,,,,,,,,,,,,,,,
Jeremías,1786,,,,,,,,,,,,,,,,,,,
Jeremías,1793,,,,,,,,,,,,,,,,,,,
Jeremías,1796,,,,,,,,,,,,,,,,,,,
Jeremías,1797,,,,,,,,,,,,,,,,,,,
Jeremías,1800,1.00,,,,,,,,,,,,,,,,,,
Joel,1600,,,,,,,,,,,,,,,,,,,
Joel,1620,,,,,,,,,,,,,,,,,,,
Joel,1650,,,,,,,,,,,,,,,,,,,
Joel,1657,,,,,,,,,,,,,,,,,,,
Joel,1685,1.00,,,,,,,,,,,,,,,,,,
Joel,1690,,,,,,,,,,,,,,,,,,,
Joel,1700,,,,,,,,,,,,,,,,,,,
Joel,1742,,,,,,,,,,,,,,,,,,,
Joel,1764,,,,,,,,,,,,,,,,,,,
Joel,1770,,,,,,,,,,,,,,,,,,,
Joel,1782,,,,,,,,,,,,,,,,,,,
Joel,1786,,,,,,,,,,,,,,,,,,,
Joel,1793,,,,,,,,,,,,,,,,,,,
Joel,1796,,,,,,,,,,,,,,,,,,,
Joel,1797,1.00,,,,,,,,,,,,,,,,,,
Joel,1800,1.00,,,,,,,,,,,,,,,,,,
Jonás,1600,3.00,,,,,,,,,,,,,,,,,,
Jonás,1620,,,,,,,,,,,,,,,,,,,
Jonás,1650,,,,,,,,,,,,,,,,,,,
Jonás,1657,,,,,,,,,,,,,,,,,,,
Jonás,1685,1.00,,,,,,,,,,,,,,,,,,
Jonás,1690,,,,,,,,,,,,,,,,,,,
Jonás,1700,1.00,,,,,,,,,,,,,,,,,,
Jonás,1742,,,,,,,,,,,,,,,,,,,
Jonás,1764,,,,,,,,,,,,,,,,,,,
Jonás,1770,,,,,,,,,,,,,,,,,,,
Jonás,1782,,,,,,,,,,,,,,,,,,,
Jonás,1786,,,,,,,,,,,,,,,,,,,
Jonás,1793,,,,,,,,,,,,,,,,,,,
Jonás,1796,,,,,,,,,,,,,,,,,,,
Jonás,1797,,,,,,,,,,,,,,,,,,,
Jonás,1800,1.00,,,,,,,,,,,,,,,,,,
Malaquías,1600,,,,,,,,,,,,,,,,,,,
Malaquías,1620,,,,,,,,,,,,,,,,,,,
Malaquías,1650,,,,,,,,,,,,,,,,,,,
Malaquías,1657,,,,,,,,,,,,,,,,,,,
Malaquías,1685,1.00,,,,,,,,,,,,,,,,,,
Malaquías,1690,,,,,,,,,,,,,,,,,,,
Malaquías,1700,,,,,,,,,,,,,,,,,,,
Malaquías,1742,,,,,,,,,,,,,,,,,,,
Malaquías,1764,,,,,,,,,,,,,,,,,,,
Malaquías,1770,,,,,,,,,,,,,,,,,,,
Malaquías,1782,,,,,,,,,,,,,,,,,,,
Malaquías,1786,,,,,,,,,,,,,,,,,,,
Malaquías,1793,,,,,,,,,,,,,,,,,,,
Malaquías,1796,,,,,,,,,,,,,,,,,,,
Malaquías,1797,,,,,,,,,,,,,,,,,,,
Malaquías,1800,1.00,,,,,,,,,,,,,,,,,,
Miqueas,1600,,,,,,,,,,,,,,,,,,,
Miqueas,1620,,,,,,,,,,,,,,,,,,,
Miqueas,1650,,,,,,,,,,,,,,,,,,,
Miqueas,1657,,,,,,,,,,,,,,,,,,,
Miqueas,1685,1.00,,,,,,,,,,,,,,,,,,
Miqueas,1690,,,,,,,,,,,,,,,,,,,
Miqueas,1700,,,,,,,,,,,,,,,,,,,
Miqueas,1742,,,,,,,,,,,,,,,,,,,
Miqueas,1764,,,,,,,,,,,,,,,,,,,
Miqueas,1770,,,,,,,,,,,,,,,,,,,
Miqueas,1782,,,,,,,,,,,,,,,,,,,
Miqueas,1786,,,,,,,,,,,,,,,,,,,
Miqueas,1793,,,,,,,,,,,,,,,,,,,
Miqueas,1796,,,,,,,,,,,,,,,,,,,
Miqueas,1797,1.00,,,,,,,,,,,,,,,,,,
Miqueas,1800,1.00,,,,,,,,,,,,,,,,,,
Nahum,1600,,,,,,,,,,,,,,,,,,,
Nahum,1620,,,,,,,,,,,,,,,,,,,
Nahum,1650,,,,,,,,,,,,,,,,,,,
Nahum,1657,,,,,,,,,,,,,,,,,,,
Nahum,1685,1.00,,,,,,,,,,,,,,,,,,
Nahum,1690,,,,,,,,,,,,,,,,,,,
Nahum,1700,,,,,,,,,,,,,,,,,,,
Nahum,1742,,,,,,,,,,,,,,,,,,,
Nahum,1764,,,,,,,,,,,,,,,,,,,
Nahum,1770,,,,,,,,,,,,,,,,,,,
Nahum,1782,,,,,,,,,,,,,,,,,,,
Nahum,1786,,,,,,,,,,,,,,,,,,,
Nahum,1793,,,,,,,,,,,,,,,,,,,
Nahum,1796,,,,,,,,,,,,,,,,,,,
Nahum,1797,,,,,,,,,,,,,,,,,,,
Nahum,1800,1.00,,,,,,,,,,,,,,,,,,
Oseas,1600,,,,,,,,,,,,,,,,,,,
Oseas,1620,,,,,,,,,,,,,,,,,,,
Oseas,1650,,,,,,,,,,,,,,,,,,,
Oseas,1657,,,,,,,,,,,,,,,,,,,
Oseas,1685,1.00,,,,,,,,,,,,,,,,,,
Oseas,1690,,,,,,,,,,,,,,,,,,,
Oseas,1700,,,,,,,,,,,,,,,,,,,
Oseas,1742,,,,,,,,,,,,,,,,,,,
Oseas,1764,,,,,,,,,,,,,,,,,,,
Oseas,1770,,,,,,,,,,,,,,,,,,,
Oseas,1782,,,,,,,,,,,,,,,,,,,
Oseas,1786,,,,,,,,,,,,,,,,,,,
Oseas,1793,,,,,,,,,,,,,,,,,,,
Oseas,1796,,,,,,,,,,,,,,,,,,,
Oseas,1797,,,,,,,,,,,,,,,,,,,
Oseas,1800,1.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1600,1.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1620,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1650,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1657,1.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1685,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1690,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1700,3.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1742,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1764,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1770,1.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1782,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1786,2.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1793,2.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1796,1.00,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1797,,,,,,,,,,,,,,,,,,,
Profetas y Sacerdotes,1800,2.00,,,,,,,,,,,,,,,,,,
Samuel,1600,1.00,,,,,,,,,,,,,,,,,,
Samuel,1620,,,,,,,,,,,,,,,,,,,
Samuel,1650,,,,,,,,,,,,,,,,,,,
Samuel,1657,,,,,,,,,,,,,,,,,,,
Samuel,1685,,,,,,,,,,,,,,,,,,,
Samuel,1690,,,,,,,,,,,,,,,,,,,
Samuel,1700,2.00,,,,,,,,,,,,,,,,,,
Samuel,1742,,,,,,,,,,,,,,,,,,,
Samuel,1764,1.00,,,,,,,,,,,,,,,,,,
Samuel,1770,,,,,,,,,,,,,,,,,,,
Samuel,1782,,,,,,,,,,,,,,,,,,,
Samuel,1786,,,,,,,,,,,,,,,,,,,
Samuel,1793,,,,,,,,,,,,,,,,,,,
Samuel,1796,,,,,,,,,,,,,,,,,,,
Samuel,1797,,,,,,,,,,,,,,,,,,,
Samuel,1800,,,,,,,,,,,,,,,,,,,
Sofonías,1600,,,,,,,,,,,,,,,,,,,
Sofonías,1620,,,,,,,,,,,,,,,,,,,
Sofonías,1650,,,,,,,,,,,,,,,,,,,
Sofonías,1657,,,,,,,,,,,,,,,,,,,
Sofonías,1685,1.00,,,,,,,,,,,,,,,,,,
Sofonías,1690,,,,,,,,,,,,,,,,,,,
Sofonías,1700,,,,,,,,,,,,,,,,,,,
Sofonías,1742,,,,,,,,,,,,,,,,,,,
Sofonías,1764,,,,,,,,,,,,,,,,,,,
Sofonías,1770,,,,,,,,,,,,,,,,,,,
Sofonías,1782,,,,,,,,,,,,,,,,,,,
Sofonías,1786,,,,,,,,,,,,,,,,,,,
Sofonías,1793,,,,,,,,,,,,,,,,,,,
Sofonías,1796,,,,,,,,,,,,,,,,,,,
Sofonías,1797,,,,,,,,,,,,,,,,,,,
Sofonías,1800,1.00,,,,,,,,,,,,,,,,,,
Zacarías,1600,2.00,,,,,,,,,,,,,,,,,,
Zacarías,1620,,,,,,,,,,,,,,,,,,,
Zacarías,1650,,,,,,,,,,,,,,,,,,,
Zacarías,1657,,,,,,,,,,,,,,,,,,,
Zacarías,1685,1.00,,,,,,,,,,,,,,,,,,
Zacarías,1690,,,,,,,,,,,,,,,,,,,
Zacarías,1700,,,,,,,,,,,,,,,,,,,
Zacarías,1742,,,,,,,,,,,,,,,,,,,
Zacarías,1764,1.00,,,,,,,,,,,,,,,,,,
Zacarías,1770,,,,,,,,,,,,,,,,,,,
Zacarías,1782,,,,,,,,,,,,,,,,,,,
Zacarías,1786,,,,,,,,,,,,,,,,,,,
Zacarías,1793,,,,,,,,,,,,,,,,,,,
Zacarías,1796,,,,,,,,,,,,,,,,,,,
Zacarías,1797,,,,,,,,,,,,,,,,,,,
Zacarías,1800,1.00,,,,,,,,,,,,,,,,,,
